Building ID,Market,Street Address,City,State,Postal Code,Latitude,Longitude,On Zayo Network Status,Net Classification,Type,Network Proximity,Estimated Build Cost
Bldg-115472,Atlanta,953 Donnelly Ave SW,Atlanta,GA,30310,33.7285213,-84.4187515,Not on Zayo Network,Fiber Only,Office - Multi Tenant,116.91,13507.3
Bldg-115473,Atlanta,555 Old Norcross Rd,Lawrenceville,GA,30046,33.9467,-83.995,Not on Zayo Network,Fiber Only,Office - Multi Tenant,28323.03,689752.72
Bldg-115475,Atlanta,3159 Royal Dr,Alpharetta,GA,30005,34.056608,-84.265246,On Zayo Network,Fiber Only,Office - Multi Tenant,979.44,33506.56
Bldg-115476,Atlanta,1593 Northeast Expy NE,Atlanta,GA,30329,33.8317,-84.3239,Not on Zayo Network,Type 2,Neutral Data Center,177.41,15322.3
Bldg-115501,Atlanta,Glenridge Dr NE & Hammond Dr NE,Sandy Springs,GA,30328,33.9189871,-84.3640909,Not on Zayo Network,Stubbed,Splice Point,22.89,10686.7
Bldg-115514,Atlanta,2500 Cumberland Pkwy SE,Atlanta,GA,30339,33.867537,-84.475962,Not on Zayo Network,Fiber Only,Office - Multi Tenant,2620.3,72887.2
Bldg-115480,Atlanta,Northside Dr & Sagamore Dr,Atlanta,GA,30305,33.8217569,-84.4057601,On Zayo Network,Fiber Only,Splice Point,19.09,10572.7
Bldg-115549,Atlanta,100 Peachtree St NE,Atlanta,GA,30303,33.7569238,-84.3886502,On Zayo Network,Fiber Only,Office - Multi Tenant,519.98,22479.52
Bldg-115550,Atlanta,1000 Holcomb Woods Pkwy - Bldg 444,Roswell,GA,30076,34.0223353,-84.3097425,On Zayo Network,Fiber Only,Office - Multi Tenant,562.01,23488.24
Bldg-115551,Atlanta,105 Collier Rd NW,Atlanta,GA,30309,33.8090812,-84.396315,On Zayo Network,Fiber Only,Hospital,356.89,20706.7
Bldg-115552,Atlanta,10820 Abbotts Bridge Rd,Duluth,GA,30097,34.0446993,-84.1782245,On Zayo Network,Fiber Only,Retail - Single Tenant,641.52,25396.48
Bldg-115565,Atlanta,16 Forest Pkwy,Forest Park,GA,30297,33.6204503,-84.3915228,On Zayo Network,Fiber Only,Retail - Single Tenant,586.54,24076.96
Bldg-115644,Atlanta,53 Perimeter Ctr E,Atlanta,GA,30346,33.9222254,-84.3313628,On Zayo Network,Fiber Only,Office - Multi Tenant,2146.59,61518.16
Bldg-115630,Atlanta,3855 Pleasant Hill Rd,Duluth,GA,30096,33.9996997,-84.1639353,Not on Zayo Network,Fiber Only,Hospital,369.05,21071.5
Bldg-115659,Atlanta,5670 Peachtree Dunwoody Rd,Atlanta,GA,30342,33.9097023,-84.3529505,On Zayo Network,Fiber Only,Hospital,132.27,13968.1
Bldg-115656,Atlanta,5600 Roswell Rd,Atlanta,GA,30342,33.9077997,-84.3795245,On Zayo Network,Fiber Only,Retail: Sm Shopping Mall,187.28,15618.4
Bldg-115548,Atlanta,100 Ashford Gables Dr,Atlanta,GA,30338,33.9353178,-84.3403168,Not on Zayo Network,Fiber Only,Office - Multi Tenant,629.35,25104.4
Bldg-115554,Atlanta,1100 Lake Hearn DR NE,Atlanta,GA,30342,33.913042,-84.351234,On Zayo Network,Fiber Only,Office - Multi Tenant,216.45,16493.5
Bldg-115582,Atlanta,2197 Canton Rd,Marietta,GA,30066,34.0045569,-84.527854,Not on Zayo Network,Fiber Only,Office - Multi Tenant,652.04,25648.96
Bldg-115555,Atlanta,11465 Johns Creek Pkwy,Duluth,GA,30097,34.0591378,-84.1669289,On Zayo Network,Fiber Only,Office - Multi Tenant,330.01,19900.3
Bldg-115561,Atlanta,1350 Spring St NW,Atlanta,GA,30309,33.7914836,-84.3897786,Not on Zayo Network,Fiber Only,Office - Multi Tenant,611.64,24679.36
Bldg-115556,Atlanta,11555 Medlock Bridge Rd,Duluth,GA,30097,34.0557674,-84.1729726,On Zayo Network,Fiber Only,Office - Multi Tenant,266.34,17990.2
Bldg-115574,Atlanta,1800 Sandy Plains Ind Pkwy NE,Marietta,GA,30066,33.9949839,-84.5295066,Not on Zayo Network,Fiber Only,Office - Multi Tenant,677.87,26268.88
Bldg-115609,Atlanta,3193 Howell Mill Rd NW,Atlanta,GA,30327,33.842065,-84.427353,On Zayo Network,Fiber Only,Office - Multi Tenant,1036.2,34868.8
Bldg-115610,Atlanta,3280 Howell Mill Rd NW,Atlanta,GA,30327,33.8431462,-84.4288461,On Zayo Network,Fiber Only,Office - Multi Tenant,999.79,33994.96
Bldg-115562,Atlanta,1355 Terrell Mill Rd SE,Marietta,GA,30067,33.9183068,-84.4653482,On Zayo Network,Fiber Only,Office - Multi Tenant,363.15,20894.5
Bldg-115642,Atlanta,500 Sun Valley Dr,Roswell,GA,30076,34.0521527,-84.3398401,Not on Zayo Network,Fiber Only,Clinic,1067.03,35608.72
Bldg-115557,Atlanta,11660 Alpharetta Hwy,Roswell,GA,30076,34.0657285,-84.3235975,Not on Zayo Network,Fiber Only,Office - Multi Tenant,822.36,29736.64
Bldg-115568,Atlanta,1700 Hospital S Dr,Austell,GA,30106,33.8555196,-84.6051365,Not on Zayo Network,Fiber Only,Office - Multi Tenant,742.83,27827.92
Bldg-115564,Atlanta,1462 Montreal Rd,Tucker,GA,30084,33.8254851,-84.2548785,On Zayo Network,Fiber Only,Office - Multi Tenant,388.87,21666.1
Bldg-115685,Atlanta,887 W Marietta St NW,Atlanta,GA,30318,33.7823943,-84.416197,Not on Zayo Network,Fiber Only,Office - Multi Tenant,163.18,14895.4
Bldg-115558,Atlanta,127 Peachtree St NE,Atlanta,GA,30303,33.7568795,-84.3878508,On Zayo Network,Fiber Only,Office - Multi Tenant,428.61,22858.3
Bldg-115566,Atlanta,1691 Phoenix Blvd,Atlanta,GA,30349,33.615558,-84.4446372,On Zayo Network,Fiber Only,Office - Multi Tenant,248.94,17468.2
Bldg-115559,Atlanta,1325 Satellite Blvd NW,Suwanee,GA,30024,34.0078608,-84.0742401,Not on Zayo Network,Fiber Only,Splice Point,115.27,13458.1
Bldg-115567,Atlanta,17 Executive Park Dr NE,Atlanta,GA,30329,33.8276956,-84.3392885,Not on Zayo Network,Fiber Only,Office - Multi Tenant,187.93,15637.9
Bldg-115580,Atlanta,2045 Peachtree Rd NE,Atlanta,GA,30309,33.8103959,-84.3921293,On Zayo Network,Fiber Only,Office - Multi Tenant,134.49,14034.7
Bldg-115560,Atlanta,1349 W Peachtree St NW,Atlanta,GA,30309,33.791513,-84.3873008,On Zayo Network,Fiber Only,Office - Multi Tenant,141.17,14235.1
Bldg-115581,Atlanta,2150 Boggs Rd,Duluth,GA,30096,33.973638,-84.103621,On Zayo Network,Fiber Only,Office - Multi Tenant,949.66,32791.84
