uniqueID,Lat,Long,BuildCost,ProfitNPV,Industry,ProductGroup,BuildingType,NetStatus,isClosesd,isWon,StreetAddress
0,34.0953,-84.2587,"23,234.08","13,492.84",Professional Services,IP Services,Office - Multi Tenant,On Zayo Network,null,null,13560 Morris Rd Alpharetta GA 30004
1,34.0811,-84.2566,"31,202.32","23,820.40",Professional Services,IP Services,Office - Multi Tenant,Not on Zayo Network,null,null,900 N Point Pkwy Alpharetta GA 30005
2,34.0706,-84.2597,"17,736.40","17,763.35",Professional Services,IP Services,Office - Multi Tenant,Not on Zayo Network,null,null,3655 North Point Pkwy Alpharetta GA 30005
3,34.0953,-84.2587,"23,234.08","44,655.12",Professional Services,IP Services,Office - Multi Tenant,On Zayo Network,null,null,13560 Morris Rd Alpharetta GA 30004
4,34.0953,-84.2587,"23,234.08","19,524.32",Professional Services,IP Services,Office - Multi Tenant,On Zayo Network,null,null,13560 Morris Rd Alpharetta GA 30004
5,34.0865,-84.2678,"19,409.20","16,703.23",Government,IP Services,Office - Single Tenant,On Zayo Network,null,null,5555 Windward Pkwy Alpharetta GA 30004
6,34.0865,-84.2678,"19,409.20","20,139.85",Government,IP Services,Office - Single Tenant,On Zayo Network,null,null,5555 Windward Pkwy Alpharetta GA 30004
7,34.0865,-84.2678,"19,409.20","35,358.93",Government,IP Services,Office - Single Tenant,On Zayo Network,null,null,5555 Windward Pkwy Alpharetta GA 30004
8,34.0865,-84.2678,"19,409.20","75,962.68",Government,IP Services,Office - Single Tenant,On Zayo Network,null,null,5555 Windward Pkwy Alpharetta GA 30004
9,34.0407,-84.2881,"47,413.84","19,524.32",Other Industry,IP Services,Office - Single Tenant,On Zayo Network,null,null,4500 Mansell Rd Alpharetta GA 30022
10,34.0407,-84.2881,"47,413.84","37,786.04",Other Industry,IP Services,Office - Single Tenant,On Zayo Network,null,null,4500 Mansell Rd Alpharetta GA 30022
11,34.0971,-84.2458,"18,890.20","69,025.12",Professional Services,Ethernet,Office - Single Tenant,On Zayo Network,null,null,1255 Alderman Dr Alpharetta GA 30005
12,34.0576,-84.2917,"98,026.48","56,297.38",Professional Services,IP Services,Office - Multi Tenant,Not on Zayo Network,null,null,2400 Lakeview Pkwy Alpharetta GA 30009
13,34.084,-84.2537,"11,350.60","31,728.30",Telecommunications,Ethernet,Neutral Data Center,On Zayo Network,null,null,12655 Edison Dr Alpharetta GA 30005
14,34.084,-84.2537,"11,350.60","55,116.89",Professional Services,Ethernet,Neutral Data Center,On Zayo Network,null,null,12655 Edison Dr Alpharetta GA 30005
15,34.0724,-84.2604,"31,099.60","80,140.54",Finance,IP Services,Office - Multi Tenant,Not on Zayo Network,null,null,3460 Preston Ridge Rd Alpharetta GA 30005
16,34.0724,-84.2604,"31,099.60","80,140.54",Finance,IP Services,Office - Multi Tenant,Not on Zayo Network,null,null,3460 Preston Ridge Rd Alpharetta GA 30005
17,34.0952,-84.2356,"35,322.64","23,015.96",Professional Services,Wavelengths - Metro,Office - Single Tenant,On Zayo Network,null,null,1650 Union Hill Rd Alpharetta GA 30005
18,34.0952,-84.2356,"35,322.64","16,316.33",Professional Services,Ethernet,Office - Single Tenant,On Zayo Network,null,null,1650 Union Hill Rd Alpharetta GA 30005
19,34.1033,-84.2149,"23,284.00","14,264.39",Other Industry,Ethernet,Office - Multi Tenant,On Zayo Network,null,null,1865 McFarland Pkwy Alpharetta GA 30005
20,34.0622,-84.2491,"20,143.90","20,442.32",Media & Content,Wavelengths - Metro,Office - Multi Tenant,On Zayo Network,null,null,3750 Brookside Pkwy Alpharetta GA 30022
21,34.0758,-84.2642,"36,721.60","49,726.13",Media & Content,IP Services,Neutral Data Center,On Zayo Network,null,null,3200 Webb Bridge Rd Alpharetta GA 30005
22,34.0758,-84.2642,"36,721.60","20,442.32",Media & Content,Wavelengths - Metro,Neutral Data Center,On Zayo Network,null,null,3200 Webb Bridge Rd Alpharetta GA 30005
23,34.0758,-84.2642,"36,721.60","27,215.67",Telecommunications,Wavelengths - Metro,Neutral Data Center,On Zayo Network,null,null,3200 Webb Bridge Rd Alpharetta GA 30005
24,34.0596,-84.2459,"23,038.60","14,701.33",Telecommunications,IP Services,Office - Multi Tenant,Not on Zayo Network,null,null,4325 Alexander Dr Alpharetta GA 30022
25,34.0634,-84.2726,"61,306.72","25,566.09",Telecommunications,Ethernet,Neutral Data Center,On Zayo Network,null,null,11650 Great Oaks Way Alpharetta GA 30022
26,34.0865,-84.2678,"19,409.20","96,430.96",Telecommunications,Dark Fiber - Metro,Office - Single Tenant,On Zayo Network,null,null,5555 Windward Pkwy Alpharetta GA 30004
27,34.0865,-84.2678,"19,409.20","144,779.17",Telecommunications,Dark Fiber - Metro,Office - Single Tenant,On Zayo Network,null,null,5555 Windward Pkwy Alpharetta GA 30004
28,34.0826,-84.2676,"47,923.36","77,372.28",Telecommunications,Ethernet,Private Data Center,On Zayo Network,null,null,2525 Westside Pkwy Alpharetta GA 30004
29,34.0826,-84.2676,"47,923.36","37,175.54",Telecommunications,Ethernet,Private Data Center,On Zayo Network,null,null,2525 Westside Pkwy Alpharetta GA 30004
30,34.0826,-84.2676,"47,923.36","25,251.93",Finance,Wavelengths - Metro,Private Data Center,On Zayo Network,null,null,2525 Westside Pkwy Alpharetta GA 30004
31,34.0596,-84.2459,"23,038.60","9,296.33",Media & Content,Ethernet,Office - Multi Tenant,Not on Zayo Network,null,null,4325 Alexander Dr Alpharetta GA 30022
32,34.084,-84.2537,"11,350.60","14,742.50",Professional Services,Ethernet,Neutral Data Center,On Zayo Network,null,null,12655 Edison Dr Alpharetta GA 30005
33,34.0952,-84.2356,"35,322.64","35,883.10",Professional Services,Wavelengths - Long Haul,Office - Single Tenant,On Zayo Network,null,null,1650 Union Hill Rd Alpharetta GA 30005
34,34.0952,-84.2356,"35,322.64","60,582.08",Professional Services,Wavelengths - Long Haul,Office - Single Tenant,On Zayo Network,null,null,1650 Union Hill Rd Alpharetta GA 30005
35,34.0952,-84.2356,"35,322.64","94,619.16",Professional Services,Ethernet,Office - Single Tenant,On Zayo Network,null,null,1650 Union Hill Rd Alpharetta GA 30005
36,34.0952,-84.2356,"35,322.64","70,869.78",Professional Services,Ethernet,Office - Single Tenant,On Zayo Network,null,null,1650 Union Hill Rd Alpharetta GA 30005
37,34.0952,-84.2356,"35,322.64","51,784.67",Professional Services,Ethernet,Office - Single Tenant,On Zayo Network,null,null,1650 Union Hill Rd Alpharetta GA 30005
38,34.0952,-84.2356,"35,322.64",0,Professional Services,Wavelengths - Long Haul,Office - Single Tenant,On Zayo Network,null,null,1650 Union Hill Rd Alpharetta GA 30005
39,34.0952,-84.2356,"35,322.64","47,907.99",Professional Services,Wavelengths - Long Haul,Office - Single Tenant,On Zayo Network,null,null,1650 Union Hill Rd Alpharetta GA 30005
40,34.0952,-84.2356,"35,322.64","70,869.78",Professional Services,Ethernet,Office - Single Tenant,On Zayo Network,null,null,1650 Union Hill Rd Alpharetta GA 30005
41,34.0952,-84.2356,"35,322.64","38,786.73",Professional Services,Ethernet,Office - Single Tenant,On Zayo Network,null,null,1650 Union Hill Rd Alpharetta GA 30005
42,34.0952,-84.2356,"35,322.64","38,786.73",Professional Services,Ethernet,Office - Single Tenant,On Zayo Network,null,null,1650 Union Hill Rd Alpharetta GA 30005
43,34.0758,-84.2642,"36,721.60","17,627.55",Other Industry,Ethernet,Neutral Data Center,On Zayo Network,null,null,3200 Webb Bridge Rd Alpharetta GA 30005
44,34.0758,-84.2642,"36,721.60","27,898.98",Other Industry,Wavelengths - Metro,Neutral Data Center,On Zayo Network,null,null,3200 Webb Bridge Rd Alpharetta GA 30005
45,34.0758,-84.2642,"36,721.60","24,615.48",Other Industry,Wavelengths - Metro,Neutral Data Center,On Zayo Network,null,null,3200 Webb Bridge Rd Alpharetta GA 30005
46,34.0758,-84.2642,"36,721.60","13,737.75",Other Industry,Wavelengths - Metro,Neutral Data Center,On Zayo Network,null,null,3200 Webb Bridge Rd Alpharetta GA 30005
47,34.0758,-84.2642,"36,721.60","50,282.58",Other Industry,Ethernet,Neutral Data Center,On Zayo Network,null,null,3200 Webb Bridge Rd Alpharetta GA 30005
48,34.0758,-84.2642,"36,721.60","5,496.59",Other Industry,Wavelengths - Metro,Neutral Data Center,On Zayo Network,null,null,3200 Webb Bridge Rd Alpharetta GA 30005
49,34.0758,-84.2642,"36,721.60","5,271.69",Other Industry,Wavelengths - Metro,Neutral Data Center,On Zayo Network,null,null,3200 Webb Bridge Rd Alpharetta GA 30005
50,34.0758,-84.2642,"36,721.60","13,003.93",Other Industry,Wavelengths - Long Haul,Neutral Data Center,On Zayo Network,null,null,3200 Webb Bridge Rd Alpharetta GA 30005
51,34.0758,-84.2642,"36,721.60","55,340.03",Other Industry,IP Services,Neutral Data Center,On Zayo Network,null,null,3200 Webb Bridge Rd Alpharetta GA 30005
52,34.0758,-84.2642,"36,721.60","60,267.65",Other Industry,IP Services,Neutral Data Center,On Zayo Network,null,null,3200 Webb Bridge Rd Alpharetta GA 30005
53,34.0588,-84.2902,"90,486.88","10,445.96",Telecommunications,Wavelengths - Metro,Office - Multi Tenant,Not on Zayo Network,null,null,2300 Lakeview Pkwy Alpharetta GA 30009
54,34.0634,-84.2726,"61,306.72","125,977.82",Professional Services,Ethernet,Neutral Data Center,On Zayo Network,null,null,11650 Great Oaks Way Alpharetta GA 30022
55,34.084,-84.2537,"11,350.60","21,779.83",Other Industry,Ethernet,Neutral Data Center,On Zayo Network,null,null,12655 Edison Dr Alpharetta GA 30005
56,34.0865,-84.2678,"19,409.20","64,008.50",Telecommunications,SONET,Office - Single Tenant,On Zayo Network,null,null,5555 Windward Pkwy Alpharetta GA 30004
57,34.0644,-84.256,"20,424.70","16,664.91",Telecommunications,IP Services,Office - Multi Tenant,On Zayo Network,null,null,3625 Brookside Pkwy Alpharetta GA 30022
58,34.0636,-84.2557,"23,804.20","16,230.48",Telecommunications,IP Services,Office - Multi Tenant,On Zayo Network,null,null,3655 Brookside Pkwy Alpharetta GA 30022
59,34.0636,-84.2557,"23,804.20","12,924.37",Telecommunications,IP Services,Office - Multi Tenant,On Zayo Network,null,null,3655 Brookside Pkwy Alpharetta GA 30022
60,34.0636,-84.2557,"23,804.20","8,885.36",Telecommunications,IP Services,Office - Multi Tenant,On Zayo Network,null,null,3655 Brookside Pkwy Alpharetta GA 30022
61,34.0758,-84.2642,"36,721.60","32,885.14",Telecommunications,IP Services,Neutral Data Center,On Zayo Network,null,null,3200 Webb Bridge Rd Alpharetta GA 30005
62,34.0758,-84.2642,"36,721.60","136,716.01",Telecommunications,Dark Fiber - Metro,Neutral Data Center,On Zayo Network,null,null,3200 Webb Bridge Rd Alpharetta GA 30005
63,34.058,-84.2681,"13,213.60","15,794.62",null,Ethernet,Office - Multi Tenant,Not on Zayo Network,null,null,4550 N Point Pkwy Alpharetta GA 30022
64,34.058,-84.2681,"13,213.60","14,019.61",null,Ethernet,Office - Multi Tenant,Not on Zayo Network,null,null,4550 N Point Pkwy Alpharetta GA 30022
65,34.084,-84.2537,"11,350.60","103,080.25",Other Industry,Ethernet,Neutral Data Center,On Zayo Network,null,null,12655 Edison Dr Alpharetta GA 30005
66,34.084,-84.2537,"11,350.60","141,968.10",Other Industry,Ethernet,Neutral Data Center,On Zayo Network,null,null,12655 Edison Dr Alpharetta GA 30005
67,34.0636,-84.2885,"96,929.20","35,778.55",Telecommunications,Ethernet,Office - Multi Tenant,Not on Zayo Network,null,null,11625 Rainwater Dr Alpharetta GA 30009
68,34.0393,-84.2918,"22,608.88","19,168.81",Telecommunications,Ethernet,Office - Multi Tenant,On Zayo Network,null,null,3820 Mansell Rd Alpharetta GA 30022
