uniqueID,Lat,Long,BuildCost,ProfitNPV,Industry,ProductGroup,BuildingType,NetStatus,isClosesd,isWon,StreetAddress
0,32.9547,-96.8236,"37,143.60","88,353.19",Telecommunications,IP Services,Office - Multi Tenant,On Zayo Network,null,null,5080 Spectrum Dr Addison TX 75001
1,32.9426,-96.8395,"80,650.00","58,338.83",Telecommunications,IP Services,Office - Multi Tenant,Not on Zayo Network,null,null,14131 Midway Rd Addison TX 75001
2,32.9788,-96.8286,"21,010.80","88,353.19",Telecommunications,IP Services,Office - Multi Tenant,On Zayo Network,null,null,16633 Dallas Pkwy Addison TX 75001
3,32.9547,-96.8236,"37,143.60","16,811.19",Media & Content,Ethernet,Office - Multi Tenant,On Zayo Network,null,null,5080 Spectrum Dr Addison TX 75001
4,32.9799,-96.835,"43,123.00","43,005.56",Media & Content,IP Services,Office - Multi Tenant,Not on Zayo Network,null,null,4505 Excel Pkwy Addison TX 75001
5,32.9829,-96.8355,"20,350.80","12,401.39",Telecommunications,Ethernet,Office - Multi Tenant,Not on Zayo Network,null,null,4200 Sojourn Dr Addison TX 75001
6,32.9582,-96.8268,"51,102.00","60,430.04",Telecommunications,IP Services,Hotel & Inn,Not on Zayo Network,null,null,4960 Arapaho Rd Addison TX 75001
7,32.9725,-96.8223,"20,466.00","34,021.99",Telecommunications,Ethernet,Office - Single Tenant,On Zayo Network,null,null,16251 Dallas Pkwy Addison TX 75001
8,32.9426,-96.8395,"80,650.00","57,943.51",Telecommunications,IP Services,Office - Multi Tenant,Not on Zayo Network,null,null,14131 Midway Rd Addison TX 75001
9,32.9725,-96.8223,"20,466.00","70,015.57",Other Industry,IP Services,Office - Single Tenant,On Zayo Network,null,null,16251 Dallas Pkwy Addison TX 75001
10,32.957,-96.8402,"26,112.00","69,632.65",Telecommunications,Ethernet,Office - Multi Tenant,Not on Zayo Network,null,null,4130 Lindbergh Dr Addison TX 75001
11,32.957,-96.8402,"26,112.00","69,632.65",Telecommunications,Ethernet,Office - Multi Tenant,Not on Zayo Network,null,null,4130 Lindbergh Dr Addison TX 75001
12,32.9725,-96.8223,"20,466.00","24,831.98",Media & Content,Ethernet,Office - Single Tenant,On Zayo Network,null,null,16251 Dallas Pkwy Addison TX 75001
13,32.9725,-96.8223,"20,466.00","60,977.73",Media & Content,Ethernet,Office - Single Tenant,On Zayo Network,null,null,16251 Dallas Pkwy Addison TX 75001
14,32.9426,-96.8395,"80,650.00","10,445.70",Professional Services,Wavelengths - Metro,Office - Multi Tenant,Not on Zayo Network,null,null,14131 Midway Rd Addison TX 75001
15,32.9426,-96.8395,"80,650.00","10,157.50",Professional Services,Wavelengths - Metro,Office - Multi Tenant,Not on Zayo Network,null,null,14131 Midway Rd Addison TX 75001
