uniqueID,Lat,Long,BuildCost,ProfitNPV,Industry,ProductGroup,BuildingType,NetStatus,isClosesd,isWon,StreetAddress
0,39.8149,-105.1623,"219,671.50","12,181.69",Healthcare,Ethernet,Private Data Center,Not on Zayo Network,null,null,14401 W 65th Way Arvada CO 80004
1,39.661,-104.85,"32,551.90","8,523.37",Media & Content,Ethernet,Neutral Data Center,On Zayo Network,null,null,11900 E Cornell Ave Aurora CO 80014
2,39.661,-104.85,"32,551.90","28,517.10",Media & Content,Ethernet,Neutral Data Center,On Zayo Network,null,null,11900 E Cornell Ave Aurora CO 80014
3,39.661,-104.85,"32,551.90","39,122.16",Media & Content,Ethernet,Neutral Data Center,On Zayo Network,null,null,11900 E Cornell Ave Aurora CO 80014
4,39.661,-104.85,"32,551.90","19,878.47",Media & Content,IP Services,Neutral Data Center,On Zayo Network,null,null,11900 E Cornell Ave Aurora CO 80014
5,39.661,-104.85,"32,551.90","34,081.35",Media & Content,Wavelengths - Long Haul,Neutral Data Center,On Zayo Network,null,null,11900 E Cornell Ave Aurora CO 80014
6,39.661,-104.85,"32,551.90","34,081.35",Media & Content,Wavelengths - Long Haul,Neutral Data Center,On Zayo Network,null,null,11900 E Cornell Ave Aurora CO 80014
7,39.661,-104.85,"32,551.90","34,081.35",Media & Content,Wavelengths - Long Haul,Neutral Data Center,On Zayo Network,null,null,11900 E Cornell Ave Aurora CO 80014
8,39.661,-104.85,"32,551.90","25,605.28",Media & Content,Ethernet,Neutral Data Center,On Zayo Network,null,null,11900 E Cornell Ave Aurora CO 80014
9,39.661,-104.85,"32,551.90",0,Telecommunications,Wavelengths - Long Haul,Neutral Data Center,On Zayo Network,null,null,11900 E Cornell Ave Aurora CO 80014
10,39.661,-104.85,"32,551.90",0,Telecommunications,Wavelengths - Long Haul,Neutral Data Center,On Zayo Network,null,null,11900 E Cornell Ave Aurora CO 80014
11,39.661,-104.85,"32,551.90","98,119.56",Telecommunications,Wavelengths - Long Haul,Neutral Data Center,On Zayo Network,null,null,11900 E Cornell Ave Aurora CO 80014
12,39.7451,-104.8377,"96,374.80","25,449.73",Professional Services,Ethernet,College/University,On Zayo Network,null,null,13001 E 17th Pl Aurora CO 80045
13,39.7451,-104.8377,"96,374.80","34,366.39",Professional Services,Ethernet,College/University,On Zayo Network,null,null,13001 E 17th Pl Aurora CO 80045
14,39.661,-104.85,"32,551.90","324,935.73",Media & Content,IP Services,Neutral Data Center,On Zayo Network,null,null,11900 E Cornell Ave Aurora CO 80014
15,39.661,-104.85,"32,551.90","28,712.08",Telecommunications,Wavelengths - Metro,Neutral Data Center,On Zayo Network,null,null,11900 E Cornell Ave Aurora CO 80014
16,39.661,-104.85,"32,551.90",0,Media & Content,Wavelengths - Long Haul,Neutral Data Center,On Zayo Network,null,null,11900 E Cornell Ave Aurora CO 80014
17,39.661,-104.85,"32,551.90",0,Media & Content,Wavelengths - Long Haul,Neutral Data Center,On Zayo Network,null,null,11900 E Cornell Ave Aurora CO 80014
18,39.661,-104.85,"32,551.90",0,Media & Content,Wavelengths - Long Haul,Neutral Data Center,On Zayo Network,null,null,11900 E Cornell Ave Aurora CO 80014
19,39.661,-104.85,"32,551.90","404,134.99",Other Industry,Dark Fiber - Metro,Neutral Data Center,On Zayo Network,null,null,11900 E Cornell Ave Aurora CO 80014
20,39.661,-104.85,"32,551.90","21,484.55",null,Wavelengths - Metro,Neutral Data Center,On Zayo Network,null,null,11900 E Cornell Ave Aurora CO 80014
21,39.7163,-104.7861,"13,392.25","195,017.35",Research & Education,IP Services,Local/State Government,On Zayo Network,null,null,82 Airport Blvd Aurora CO 80011
22,39.661,-104.85,"32,551.90","31,487.97",Other Industry,Ethernet,Neutral Data Center,On Zayo Network,null,null,11900 E Cornell Ave Aurora CO 80014
23,39.661,-104.85,"32,551.90","31,727.08",Other Industry,Ethernet,Neutral Data Center,On Zayo Network,null,null,11900 E Cornell Ave Aurora CO 80014
24,39.7628,-104.7621,"35,775.10","14,934.69",Other Industry,Wavelengths - Metro,Neutral Data Center,On Zayo Network,null,null,3431 N Windsor Dr Aurora CO 80011
25,39.7628,-104.7621,"35,775.10","12,838.83",Other Industry,Wavelengths - Metro,Neutral Data Center,On Zayo Network,null,null,3431 N Windsor Dr Aurora CO 80011
26,39.7628,-104.7621,"35,775.10","9,323.86",Other Industry,Wavelengths - Metro,Neutral Data Center,On Zayo Network,null,null,3431 N Windsor Dr Aurora CO 80011
27,39.7628,-104.7621,"35,775.10","59,533.10",Other Industry,Ethernet,Neutral Data Center,On Zayo Network,null,null,3431 N Windsor Dr Aurora CO 80011
28,39.661,-104.85,"32,551.90","13,698.69",Healthcare,IP Services,Neutral Data Center,On Zayo Network,null,null,11900 E Cornell Ave Aurora CO 80014
29,39.661,-104.85,"32,551.90","64,715.96",Healthcare,IP Services,Neutral Data Center,On Zayo Network,null,null,11900 E Cornell Ave Aurora CO 80014
30,39.661,-104.85,"32,551.90","17,167.97",Energy & Manufacturing,IP Services,Neutral Data Center,On Zayo Network,null,null,11900 E Cornell Ave Aurora CO 80014
31,39.7115,-104.7732,"96,504.40","11,517.58",Telecommunications,Wavelengths - Metro,Local/State Government,Not on Zayo Network,null,null,84 N Aspen St Aurora CO 80011
32,39.7115,-104.7732,"96,504.40","11,776.31",Telecommunications,Wavelengths - Metro,Local/State Government,Not on Zayo Network,null,null,84 N Aspen St Aurora CO 80011
33,39.7212,-104.8231,"39,877.00","24,738.10",Research & Education,Ethernet,Office - Multi Tenant,Not on Zayo Network,null,null,350 N Blackhawk St Aurora CO 80011
34,39.7212,-104.8231,"39,877.00","24,738.10",Research & Education,Ethernet,Office - Multi Tenant,Not on Zayo Network,null,null,350 N Blackhawk St Aurora CO 80011
35,39.7212,-104.8231,"39,877.00","24,738.10",Research & Education,Ethernet,Office - Multi Tenant,Not on Zayo Network,null,null,350 N Blackhawk St Aurora CO 80011
36,39.661,-104.85,"32,551.90","10,049.76",null,Ethernet,Neutral Data Center,On Zayo Network,null,null,11900 E Cornell Ave Aurora CO 80014
37,39.661,-104.85,"32,551.90","12,231.57",null,Ethernet,Neutral Data Center,On Zayo Network,null,null,11900 E Cornell Ave Aurora CO 80014
38,39.661,-104.85,"32,551.90","109,893.54",null,Ethernet,Neutral Data Center,On Zayo Network,null,null,11900 E Cornell Ave Aurora CO 80014
39,39.661,-104.85,"32,551.90","50,555.17",null,Ethernet,Neutral Data Center,On Zayo Network,null,null,11900 E Cornell Ave Aurora CO 80014
40,39.661,-104.85,"32,551.90","10,049.76",null,Ethernet,Neutral Data Center,On Zayo Network,null,null,11900 E Cornell Ave Aurora CO 80014
41,39.661,-104.85,"32,551.90","10,049.76",null,Ethernet,Neutral Data Center,On Zayo Network,null,null,11900 E Cornell Ave Aurora CO 80014
42,39.661,-104.85,"32,551.90","20,672.13",null,Ethernet,Neutral Data Center,On Zayo Network,null,null,11900 E Cornell Ave Aurora CO 80014
43,39.7423,-104.8355,"64,701.40","34,403.20",Telecommunications,IP Services,Hospital,Not on Zayo Network,null,null,13123 E 16th Ave Aurora CO 80045
44,39.7423,-104.8355,"64,701.40","11,989.51",Telecommunications,Ethernet,Hospital,Not on Zayo Network,null,null,13123 E 16th Ave Aurora CO 80045
45,39.661,-104.85,"32,551.90","77,761.45",Telecommunications,Ethernet,Neutral Data Center,On Zayo Network,null,null,11900 E Cornell Ave Aurora CO 80014
46,39.661,-104.85,"32,551.90","56,162.97",Media & Content,IP Services,Neutral Data Center,On Zayo Network,null,null,11900 E Cornell Ave Aurora CO 80014
47,39.661,-104.85,"32,551.90","58,490.73",Media & Content,IP Services,Neutral Data Center,On Zayo Network,null,null,11900 E Cornell Ave Aurora CO 80014
48,39.661,-104.85,"32,551.90","25,787.06",Media & Content,Ethernet,Neutral Data Center,On Zayo Network,null,null,11900 E Cornell Ave Aurora CO 80014
49,39.661,-104.85,"32,551.90","25,787.06",Media & Content,Ethernet,Neutral Data Center,On Zayo Network,null,null,11900 E Cornell Ave Aurora CO 80014
50,39.661,-104.85,"32,551.90","14,534.41",Media & Content,IP Services,Neutral Data Center,On Zayo Network,null,null,11900 E Cornell Ave Aurora CO 80014
51,39.661,-104.85,"32,551.90","56,162.97",Media & Content,IP Services,Neutral Data Center,On Zayo Network,null,null,11900 E Cornell Ave Aurora CO 80014
